PR,T_hot_C,hot_fluid,bc_type,orc_fluid,eta_br_%,W_br_kW,T_exh_br_C,T_bot_in_C,Q_avail_kW,eta_bot_%,W_bot_kW,eta_comb_%,W_comb_kW,gain_pp
4.8853,800,Air,ORC_R245fa,Cyclopentane,38.338192346058555,172.36061471640642,195.1377212764811,194.52605938895823,84.85429027707602,24.679232444268855,20.941387536414215,42.99618770471621,193.30200225282064,4.657995358657657
4.8853,850,Air,ORC_R245fa,Cyclopentane,40.02604463609141,189.82959209819097,202.18036589284714,200.89383557869292,92.07112882928266,25.13609175141176,23.14308341908901,44.90582170198793,212.97267551727998,4.879777065896517
4.8853,900,Air,ORC_R245fa,Cyclopentane,41.54240327886371,207.30313227693836,209.27319103212244,207.93837456659168,99.34818906631455,25.60776664104523,25.440852418206248,46.64060965571329,232.7439846951446,5.0982063768495784
4.8853,950,Air,ORC_R245fa,Cyclopentane,42.911156938413114,224.77976216913532,216.41218781052345,215.02877086882864,106.68177159085165,26.043796224793265,27.783983202120794,48.215205897515304,252.56374537125612,5.304048959102187
4.8853,1000,Air,ORC_R245fa,Cyclopentane,44.15204995983851,242.25836590746218,223.5935600686039,222.1612541692462,114.06837917637284,26.438611939765778,30.158096116421806,49.648420586454925,272.416462023884,5.4963706266164145
5.0,600,Air,ORC_R245fa,R1233zd,29.077718670092356,103.19929514181507,168.68440280538886,168.1487043012147,57.8204782066404,18.50105333930098,10.69739751404944,32.09184696416865,113.89669265586451,3.014128294076296
5.0,650,Air,ORC_R245fa,R1233zd,31.847456945042573,120.85539092282426,175.46384226552783,174.90785438879573,64.7379930587153,18.662688003085076,12.081849664006912,35.03123041226546,132.93724058683117,3.1837734672228835
5.0,700,Air,ORC_R245fa,Cyclopentane,34.27648637760027,138.52763281992952,182.31048463211926,181.7345456028653,71.73141470771183,23.67964950228648,16.985747585817737,38.479342760019286,155.51338040574726,4.202856382419013
5.0,750,Air,ORC_R245fa,Cyclopentane,36.42178588395639,156.21219204562925,189.220091241133,188.62462318479646,78.79685965031298,24.231327293136943,19.0935249585811,40.87355286004674,175.30571700421035,4.45176697609036
5.0,800,Air,ORC_R245fa,Cyclopentane,38.32850160272033,173.90594274705285,196.18832739179555,195.57384530549353,85.93033854782726,24.756323581857874,21.273192665886068,43.01706822850466,195.1791354129389,4.688566625784329
5.0,850,Air,ORC_R245fa,Cyclopentane,40.03285632642413,191.60638423102506,203.21090540559067,201.91735944027698,93.12788268633774,25.206876560761298,23.474630432395752,44.93747634306675,215.0810146634208,4.904620016642619
5.0,900,Air,ORC_R245fa,Cyclopentane,41.56423679186849,209.3115504463803,210.2836544389254,208.9419589952637,100.38563116656762,25.671927960192303,25.770926915465587,46.681722694466806,235.0824773618459,5.1174859025983235
5.0,950,Air,ORC_R245fa,Cyclopentane,42.94672024273677,227.0199226464668,217.40257199813738,216.01241277253382,107.69988888656155,26.100986008681055,28.11073292964647,48.264596175713194,255.13065557611327,5.317875932976424
5.0,1000,Air,ORC_R245fa,Cyclopentane,44.200209313856135,244.7303494511895,224.56387086260992,223.12495933390687,115.06716205123341,26.488237258876634,30.47926289118676,49.70500184385329,275.20961234237626,5.504792529997155
